"Benko Gambit, Accepted, Yugoslav with 7...Bxf1, Nge2"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 Bxf1 8.Kxf1 g6 9.Nge2","A59","40.7%","40.0%","19.3%"
"Benko Gambit, Accepted, Yugoslav without 7...Bxf1"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4","A59","37.9%","33.6%","28.6%"
"Benko Gambit, Declined, Bishop Attack"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.Bg5","A57","40.7%","29.0%","30.3%"
"Benko Gambit, Declined, Main Line"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3","A57","45.3%","26.7%","28.0%"
"Benko Gambit, Declined, Pseudo-Saemisch"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.f3","A57","40.4%","43.9%","15.8%"
"Benko Gambit, Declined, Quiet Line"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nd2","A57","43.8%","30.3%","25.9%"
"Benko Gambit, Declined, Sosonko Variation"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.a4","A57","34.8%","38.8%","26.4%"
"Benko Gambit, General"," 1.d4 Nf6 2.c4 c5 3.d5 b5","A57","43.1%","35.4%","21.4%"
"Benko Gambit, Zaitsev System"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3","A58","33.3%","46.0%","20.6%"
"Benko Gambit, Zaitsev Variation, Nescafe Frappe Attack"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3 axb5 6.e4 b4 7.Nb5","A57","36.6%","46.9%","16.5%"
"Benoni Defense, Benoni Gambit Accepred"," 1.d4 c5 2.dxc5","A43","30.0%","44.4%","25.6%"
"Benoni Defense, Benoni Gambit, Schlenker Defense"," 1.d4 c5 2.dxc5 Na6","A43","34.0%","33.0%","33.0%"
"Benoni Defense, Benoni-Indian Defense"," 1.d4 c5 2.d5 Nf6","A43","28.1%","46.6%","25.3%"
"Benoni Defense, Benoni-Indian Defense, Kingside move order"," 1.d4 c5 2.d5 Nf6 3.Nf3","A43","45.5%","26.3%","28.2%"
"Benoni Defense, Classical Variation, Argentine Counterattack"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O a6 10.a4 Bg4","A75","33.0%","36.7%","30.3%"
"Benoni Defense, Classical Variation, Averbakh-Grivas Attack"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Bg5","A71","48.0%","30.1%","21.9%"
"Benoni Defense, Classical Variation, Czerniak Defense"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8","A76","36.9%","35.4%","27.7%"
"Benoni Defense, Classical Variation, Czerniak Defense"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Na6 11.f3","A79","44.6%","26.0%","29.4%"
"Benoni Defense, Classical Variation, Czerniak Defense"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Na6","A78","37.9%","33.3%","28.8%"
"Benoni Defense, Classical Variation, Czerniak Defense, Tal Line"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2","A77","43.8%","30.6%","25.6%"
"Benoni Defense, Classical Variation, Full line"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O a6 10.a4","A74","45.9%","32.9%","21.2%"
"Benoni Defense, Classical Variation, General"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3","A70","36.2%","38.0%","25.9%"
"Benoni Defense, Classical Variation, Main line"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O","A73","37.9%","32.6%","29.5%"
"Benoni Defense, Classical Variation, New York Variation"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.h3","A70","44.4%","23.6%","32.0%"
"Benoni Defense, Classical Variation, Traditional Variation"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2","A72","33.9%","34.8%","31.3%"
"Benoni Defense, Czech Benoni Defense"," 1.d4 Nf6 2.c4 c5 3.d5 e5","A56","29.9%","41.4%","28.6%"
"Benoni Defense, Fianchetto Variation"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O","A62","31.8%","39.7%","28.4%"
"Benoni Defense, Fianchetto Variation, Hastings Defense"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O 9.O-O Nbd7","A63","36.0%","29.9%","34.1%"
"Benoni Defense, Fianchetto Variation, Hastings Defense, Main Line"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O 9.O-O Nbd7 10.Nd2 a6 11.a4 Re8","A64","39.2%","31.4%","29.4%"
"Benoni Defense, Four Pawns Attack"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Nf3 O-O","A68","44.6%","34.6%","20.8%"
"Benoni Defense, Four Pawns Attack, Main Line"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Nf3 O-O 9.Be2 Re8","A69","29.7%","47.4%","22.9%"
"Benoni Defense, Franco-Sicilian Defense"," 1.d4 c5 2.d5 e6 3.e4","A43","42.7%","28.1%","29.2%"
"Benoni Defense, General"," 1.d4 c5","A43","38.5%","34.2%","27.3%"
"Benoni Defense, Hromodka System"," 1.d4 Nf6 2.c4 c5 3.d5 d6","A57","27.3%","44.8%","27.9%"
"Benoni Defense, King Pawn lines"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4","A65","44.3%","32.9%","22.8%"
"Benoni Defense, King's Indian System"," 1.d4 Nf6 2.c4 c5 3.d5 e5 4.Nc3 d6 5.e4 g6","A56","26.6%","43.5%","29.9%"
"Benoni Defense, Knight's Tour Variation"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.Nd2","A61","48.1%","24.9%","27.0%"
"Benoni Defense, Mikenas Variation"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.e5","A66","47.6%","32.5%","19.9%"
"Benoni Defense, Modern Variation"," 1.d4 Nf6 2.c4 c5 3.d5 e6","A60","31.6%","44.3%","24.1%"
"Benoni Defense, Modern Variation"," 1.d4 Nf6 2.c4 c5","A56","34.1%","36.6%","29.4%"
"Benoni Defense, Modern Variation, Snake Variation"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 Bd6","A60","38.5%","38.2%","23.3%"
"Benoni Defense, Old Benoni Defense, Clarendon Court Variation"," 1.d4 c5 2.d5 f5","A43","29.5%","47.9%","22.6%"
"Benoni Defense, Old Benoni"," 1.d4 c5 2.d5 d6","A43","28.0%","45.7%","26.3%"
"Benoni Defense, Old Benoni, Pawn Thrust"," 1.d4 c5 2.d5 e5","A44","31.4%","42.9%","25.8%"
"Benoni Defense, Old Benoni, Russian Variation"," 1.d4 c5 2.d5 e5 3.e4 d6","A44","25.5%","50.2%","24.3%"
"Benoni Defense, Pawn Storm Variation"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4","A66","56.9%","29.3%","13.8%"
"Benoni Defense, Taimanov Variation"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Bb5+","A67","49.8%","30.1%","20.1%"
"Benoni Defense, Uhlmann Variation"," 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.Bg5","A61","44.1%","29.9%","26.0%"
"Benoni Defense, Vulture Defense"," 1.d4 c5 2.d5 Nf6 3.c4 Ne4","A56","32.4%","46.2%","21.4%"
"Benoni Defense, Weenink Variation"," 1.d4 Nf6 2.c4 c5 3.dxc5 e6","A56","37.5%","24.0%","38.5%"
"Bird Opening, Dutch Variation"," 1.f4 d5","A03","40.2%","33.5%","26.3%"
"Bird Opening, From Gambit"," 1.f4 e5","A02","44.3%","38.0%","17.7%"
"Bird Opening, From Gambit, Lasker Variation"," 1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 g5","A02","36.5%","44.5%","18.9%"
"Bird Opening, General"," 1.f4","A02","34.3%","40.6%","25.1%"
"Bird Opening, Lasker Variation"," 1.f4 d5 2.Nf3 Nf6 3.e3 c5","A03","39.6%","35.4%","25.0%"
"Bishop's Opening, Berlin Defense"," 1.e4 e5 2.Bc4 Nf6","C24","27.6%","42.7%","29.7%"
"Bishop's Opening, Blanel Gambit"," 1.e4 e5 2.Bc4 Nf6 3.Nc3 Nxe4","C23","31.8%","32.3%","36.0%"
"Bishop's Opening, Boden-Kieseritsky Gambit"," 1.e4 e5 2.Nc3 Nf6 3.Bc4 Nxe4 4.Nf3","C27","43.0%","29.7%","27.3%"
"Bishop's Opening, Boi Variation"," 1.e4 e5 2.Bc4 Bc5","C20","27.0%","50.0%","23.0%"
"Bishop's Opening, General"," 1.e4 e5 2.Bc4","C23","47.3%","29.6%","23.1%"
"Bishop's Opening, Ponziani Gambit"," 1.e4 e5 2.Bc4 Nf6 3.d4","C24","61.3%","25.4%","13.4%"
"Bishop's Opening, Urusov Gambit"," 1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3","C24","45.5%","32.7%","21.8%"
"Bishop's Opening, Urusov Gambit, Keidansky Gambit"," 1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3 Nxe4 5.Qxd4","C24","41.4%","36.9%","21.6%"
"Bishop's Opening, Vienna Hybrid"," 1.e4 e5 2.Bc4 Nf6 3.d3 Nc6 4.Nc3","C28","37.9%","30.4%","31.7%"
"Bishop's Opening, Vienna Hybrid, Hromadka Variation"," 1.e4 e5 2.Bc4 Nf6 3.d3 Nc6 4.Nc3 Bb4 5.Ne2","C28","34.6%","28.8%","36.6%"
"Bishop's Opening, Vienna Hybrid, Spielmann Attack"," 1.e4 e5 2.Bc4 Nf6 3.d3 Bc5 4.Nc3","C26","47.2%","28.3%","24.4%"
"Blackmar-Diemer Gambit, Declined, Langeheinecke Defense"," 1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e3","D00","36.4%","33.6%","30.0%"
"Blackmar-Diemer Gambit, Euwe Defense"," 1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 e6","D00","29.9%","56.0%","14.0%"
"Blackmar-Diemer Gambit, Netherlands Variation"," 1.d4 d5 2.e4 dxe4 3.Nc3 f5","D00","35.2%","34.3%","30.5%"
"Blackmar-Diemer Gambit, Teichmann Variation"," 1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 Bg4","D00","48.1%","37.7%","14.2%"
"Blackmar-Diemer Gambit, Vienna Variation"," 1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 Bf5","D00","37.1%","47.1%","15.9%"
"Blackmar-Diemer Gambit, Von Popiel Gambit"," 1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.Bg5","D00","28.7%","50.9%","20.4%"
"Blumenfeld Countergambit, Accepted"," 1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.dxe6 fxe6 6.cxb5 d5","E10","34.2%","44.5%","21.3%"
"Blumenfeld Countergambit, Dus-Chotimursky Variation"," 1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.Bg5","E10","42.5%","29.3%","28.2%"
"Blumenfeld Countergambit, General"," 1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5","E10","45.5%","33.9%","20.6%"
"Blumenfeld Countergambit, Spielmann Variation"," 1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.Bg5 exd5 6.cxd5 h6","E10","29.6%","43.0%","27.5%"
"Bogo-Indian Defense, Exchange Variation"," 1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Bxd2+","E11","15.1%","36.5%","48.4%"
"Bogo-Indian Defense, GrÃ¼nfeld Variation"," 1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2","E11","41.7%","21.7%","36.5%"
"Bogo-Indian Defense, Nimzowitsch Variation"," 1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Qe7","E11","24.9%","33.9%","41.2%"
"Bogo-Indian Defense, Retreat Variation"," 1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Be7","E11","28.6%","42.9%","28.6%"
"Bogo-Indian Defense, Vitolinsh Variation"," 1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 c5","E11","25.9%","30.9%","43.2%"
"Bogo-Indian Defense, Wade-Smyslov Variation"," 1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 a5","E11","29.3%","30.1%","40.6%"
"Budapest Defense, Adler Variation"," 1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Nf3","A52","43.1%","29.4%","27.4%"
"Budapest Defense, Alekhine Variation"," 1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4","A52","52.9%","27.2%","19.9%"
"Budapest Defense, Alekhine Variation, Abonyi Variation"," 1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4 Nxe5 5.f4 Nec6","A52","33.0%","47.8%","19.2%"
"Budapest Defense, Fajarowicz Variation"," 1.d4 Nf6 2.c4 e5 3.dxe5 Ne4","A51","24.0%","50.5%","25.5%"
"Budapest Defense, General"," 1.d4 Nf6 2.c4 e5 3.dxe5 Ng4","A52","23.6%","54.3%","22.2%"
"Budapest Defense, Rubinstein Variation"," 1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Bf4","A52","50.0%","19.4%","30.6%"
"Caro-Kann Defense, Accelerated Panov Attack"," 1.e4 c6 2.c4 d5","B10","20.2%","54.1%","25.7%"
"Caro-Kann Defense, Accelerated Panov Attack"," 1.e4 c6 2.c4","B10","48.3%","26.7%","25.1%"
"Caro-Kann Defense, Accelerated Panov Attack, Modern Variation"," 1.e4 c6 2.c4 d5 3.exd5 cxd5 4.cxd5 Nf6","B10","24.1%","39.7%","36.2%"
"Caro-Kann Defense, Accelerated Panov Attack, Open Variation"," 1.e4 c6 2.c4 e5","B10","22.2%","43.7%","34.1%"
"Caro-Kann Defense, Advance Variation"," 1.e4 c6 2.d4 d5 3.e5","B12","41.1%","29.5%","29.4%"
"Caro-Kann Defense, Advance Variation, Bayonet Attack"," 1.e4 c6 2.d4 d5 3.e5 Bf5 4.g4","B12","39.7%","40.4%","19.9%"
"Caro-Kann Defense, Advance Variation, Botvinnik-Carls Defense"," 1.e4 c6 2.d4 d5 3.e5 c5","B12","32.6%","40.4%","27.1%"
"Caro-Kann Defense, Advance Variation, Bronstein Variation"," 1.e4 c6 2.d4 d5 3.e5 Bf5 4.Ne2","B12","45.2%","31.7%","23.1%"
"Caro-Kann Defense, Advance Variation, Short Variation"," 1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nf3","B12","41.2%","27.4%","31.3%"
"Caro-Kann Defense, Advance Variation, Tal Variation"," 1.e4 c6 2.d4 d5 3.e5 Bf5 4.h4","B12","45.2%","29.0%","25.8%"
"Caro-Kann Defense, Advance Variation, Van der Wiel Attack"," 1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3","B12","40.0%","36.1%","23.8%"
"Caro-Kann Defense, Advance Variation, Van der Wiel Attack, Bishop Hnt"," 1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3 e6 5.g4 Bg6 6.Nge2 c5 7.h4","B12","41.7%","34.7%","23.6%"
"Caro-Kann Defense, Advance Variation, Van der Wiel Attack, Dreyev Defense"," 1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3 Qb6","B12","33.6%","43.1%","23.3%"
"Caro-Kann Defense, Breyer Variation"," 1.e4 c6 2.d3","B10","39.3%","27.9%","32.8%"
"Caro-Kann Defense, Bronstein-Larsen Variation"," 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ gxf6","B16","28.0%","43.8%","28.2%"
"Caro-Kann Defense, Classical Variation"," 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5","B18","29.9%","33.7%","36.4%"
"Caro-Kann Defense, Classical Variation, Flohr Variation"," 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.Nh3","B18","33.6%","23.3%","43.1%"
"Caro-Kann Defense, Classical Variation, Lobron System"," 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.h4 h6 7.Nf3 Nd7 8.h5 Bh7 9.Bd3 Bxd3 10.Qxd3 e6 11.Bd2 Ngf6 12.O-O-O Be7","B19","31.2%","30.1%","38.7%"
"Caro-Kann Defense, Classical Variation, Main lines"," 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.h4","B18","35.4%","27.4%","37.2%"
"Caro-Kann Defense, Classical Variation, Maroczy Attack"," 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.f4","B18","45.7%","29.8%","24.5%"
"Caro-Kann Defense, Classical Variation, Seirawan Variation"," 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.h4 h6 7.Nf3 Nd7 8.h5 Bh7 9.Bd3 Bxd3 10.Qxd3","B19","35.5%","22.3%","42.2%"
"Caro-Kann Defense, De Bruycker Defense"," 1.e4 c6 2.d4 Na6","A40","31.4%","40.1%","28.5%"
"Caro-Kann Defense, Euwe Attack"," 1.e4 c6 2.b3","B10","35.9%","38.8%","25.2%"
"Caro-Kann Defense, Exchange  Variation, Rubinstein Variation"," 1.e4 c6 2.d4 d5 3.exd5 cxd5 4.Bd3 Nc6 5.c3 Nf6 6.Bf4","B13","34.7%","28.9%","36.4%"
"Caro-Kann Defense, Exchange Variation"," 1.e4 c6 2.d4 d5 3.exd5","B13","31.6%","37.9%","30.5%"
"Caro-Kann Defense, Forgacs Variation"," 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ exf6 6.Bc4","B15","33.1%","20.2%","46.7%"
"Caro-Kann Defense, General"," 1.e4 c6","B10","37.4%","38.5%","24.1%"
"Caro-Kann Defense, Goldman Variation"," 1.e4 c6 2.Nc3 d5 3.Qf3","B12","38.4%","30.6%","31.0%"
"Caro-Kann Defense, Gurgenidze Counterattack"," 1.e4 c6 2.d4 d5 3.Nc3 b5","B15","37.2%","39.0%","23.8%"
"Caro-Kann Defense, Gurgenidze System"," 1.e4 c6 2.d4 d5 3.Nc3 g6","B15","30.9%","38.3%","30.9%"
"Caro-Kann Defense, Karpov Variation"," 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7","B17","26.3%","31.4%","42.2%"
"Caro-Kann Defense, Karpov Variation, Modern Main Line"," 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Ng5 Ngf6 6.Bd3 e6 7.N1f3 Bd6 8.Qe2 h6 9.Ne4 Nxe4 10.Qxe4","B17","39.6%","19.2%","41.2%"
"Caro-Kann Defense, Karpov Variation, Modern Variation"," 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Ng5","B17","48.1%","24.7%","27.2%"
"Caro-Kann Defense, Karpov Variation, Modern Variation, Ivanchuk Defense"," 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Ng5 Ndf6","B17","21.1%","47.4%","31.6%"
"Caro-Kann Defense, Karpov Variation, Modern Variation, Kasparov Attack"," 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Nf3 Ngf6 6.Ng3","B17","36.3%","29.4%","34.3%"
"Caro-Kann Defense, Karpov Variation, Smyslov Variation"," 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Bc4 Ngf6 6.Ng5 e6 7.Qe2 Nb6","B17","23.8%","38.7%","37.5%"
